,country,centroid_lat,centroid_lon,pwt_growth,mpd_growth,wbdi_growth,year,pow_year,aod_yr_t-0,aod_yr_t-1,aod_yr_t-2,aod_yr_t-3,aod_yr_t-4,aod_yr_t-5,aod_dry_t-0,aod_dry_t-1,aod_dry_t-2,aod_dry_t-3,aod_dry_t-4,aod_dry_t-5,aod_wt_yr_t-0,aod_wt_yr_t-1,aod_wt_yr_t-2,aod_wt_yr_t-3,aod_wt_yr_t-4,aod_wt_yr_t-5,aod_wt_dry_t-0,aod_wt_dry_t-1,aod_wt_dry_t-2,aod_wt_dry_t-3,aod_wt_dry_t-4,aod_wt_dry_t-5,pm25_dry_t-0,pm25_dry_t-1,pm25_dry_t-2,pm25_dry_t-3,pm25_dry_t-4,pm25_dry_t-5,pm25_yr_t-0,pm25_yr_t-1,pm25_yr_t-2,pm25_yr_t-3,pm25_yr_t-4,pm25_yr_t-5,pm25_wt_dry_t-0,pm25_wt_dry_t-1,pm25_wt_dry_t-2,pm25_wt_dry_t-3,pm25_wt_dry_t-4,pm25_wt_dry_t-5,prec_wt_dry_t-0,prec_wt_dry_t-1,prec_wt_dry_t-2,prec_wt_dry_t-3,prec_wt_dry_t-4,prec_wt_dry_t-5,temp_wt_dry_t-0,temp_wt_dry_t-1,temp_wt_dry_t-2,temp_wt_dry_t-3,temp_wt_dry_t-4,temp_wt_dry_t-5,prec_dry_t-0,prec_dry_t-1,prec_dry_t-2,prec_dry_t-3,prec_dry_t-4,prec_dry_t-5,temp_dry_t-0,temp_dry_t-1,temp_dry_t-2,temp_dry_t-3,temp_dry_t-4,temp_dry_t-5,prec_wt_yr_t-0,prec_wt_yr_t-1,prec_wt_yr_t-2,prec_wt_yr_t-3,prec_wt_yr_t-4,prec_wt_yr_t-5,temp_wt_yr_t-0,temp_wt_yr_t-1,temp_wt_yr_t-2,temp_wt_yr_t-3,temp_wt_yr_t-4,temp_wt_yr_t-5,prec_yr_t-0,prec_yr_t-1,prec_yr_t-2,prec_yr_t-3,prec_yr_t-4,prec_yr_t-5,temp_yr_t-0,temp_yr_t-1,temp_yr_t-2,temp_yr_t-3,temp_yr_t-4,temp_yr_t-5,dust_yr_t-0,dust_yr_t-1,dust_yr_t-2,dust_dry_t-3,dust_dry_t-4,dust_dry_t-5,dust_dry_t-0,dust_dry_t-1,dust_dry_t-2,dust_yr_t-3,dust_yr_t-4,dust_yr_t-5,dust_wt_dry_t-0,dust_wt_dry_t-1,dust_wt_dry_t-2,dust_wt_dry_t-3,dust_wt_dry_t-4,dust_wt_dry_t-5,dust_wt_yr_t-0,dust_wt_yr_t-1,dust_wt_yr_t-2,dust_wt_yr_t-3,dust_wt_yr_t-4,dust_wt_yr_t-5,dust_pred_wt_dry_t-0,dust_pred_wt_dry_t-1,dust_pred_wt_dry_t-2,dust_pred_wt_dry_t-3,dust_pred_wt_dry_t-4,dust_pred_wt_dry_t-5,dust_sim_wt_dry_t-0,dust_sim_wt_dry_t-1,dust_sim_wt_dry_t-2,dust_sim_wt_dry_t-3,dust_sim_wt_dry_t-4,dust_sim_wt_dry_t-5,bodele_aod_dry,bodele_x,bodele_y,bodele_pm25_dry,bodele_x,bodele_y
0,benin,9.30769,2.315834,0.0941755817234388,0.0942359418615654,0.0678176387161322,1980,3920400,0.3637254,,,,,,0.50938535,,,,,,0.004498903,,,,,,0.006357161,,,,,,6.005685e-08,,,,,,4.2431584e-08,,,,,,7.105101e-10,,,,,,1.6242501e-07,,,,,,3.7684722,,,,,,1.1270936e-05,,,,,,300.88632,,,,,,6.0978226e-07,,,,,,3.747034,,,,,,4.5491888e-05,,,,,,299.10657,,,,,,3.2336555e-08,,,,,,5.0783463e-08,,,,,,5.870299e-10,,,,,,3.7626777e-10,,,,,,5.107581e-10,,,,,,6.290749e-10,,,,,,0.42792112,,0.4778642,1.6434701e-07,,1.3871497e-07
1,benin,9.30769,2.315834,0.05623968309665425,0.05738817971169339,0.09954231166631944,1981,3924361,0.3692694,0.3637254,,,,,0.45494244,0.50938535,,,,,0.0045382977,0.004498903,,,,,0.0057128835,0.006357161,,,,,6.9427735e-08,6.005685e-08,,,,,4.618533e-08,4.2431584e-08,,,,,8.463925e-10,7.105101e-10,,,,,1.8018818e-07,1.6242501e-07,,,,,3.7485876,3.7684722,,,,,1.2804219e-05,1.1270936e-05,,,,,299.14087,300.88632,,,,,5.125076e-07,6.0978226e-07,,,,,3.7451851,3.747034,,,,,3.9216233e-05,4.5491888e-05,,,,,298.9254,299.10657,,,,,3.724084e-08,3.2336555e-08,,,,,5.6910622e-08,5.0783463e-08,,,,,6.7563466e-10,5.870299e-10,,,,,4.3744097e-10,3.7626777e-10,,,,,7.2941325e-10,5.107581e-10,,,,,9.813909e-10,6.290749e-10,,,,,0.4261501,0.5288593,0.49784148,1.7894062e-07,1.0231367e-07,1.546622e-07
2,benin,9.30769,2.315834,0.10782596352070244,0.10859117744766443,0.02235066344547487,1982,3928324,0.46534845,0.3692694,0.3637254,,,,0.4825041,0.45494244,0.50938535,,,,0.005753751,0.0045382977,0.004498903,,,,0.0060219774,0.0057128835,0.006357161,,,,7.063373e-08,6.9427735e-08,6.005685e-08,,,,3.9351054e-08,4.618533e-08,4.2431584e-08,,,,8.642006e-10,8.463925e-10,7.105101e-10,,,,2.5924123e-07,1.8018818e-07,1.6242501e-07,,,,3.75056,3.7485876,3.7684722,,,,1.7445107e-05,1.2804219e-05,1.1270936e-05,,,,299.32474,299.14087,300.88632,,,,4.9971004e-07,5.125076e-07,6.0978226e-07,,,,3.7428744,3.7451851,3.747034,,,,3.754756e-05,3.9216233e-05,4.5491888e-05,,,,298.79175,298.9254,299.10657,,,,3.06275e-08,3.724084e-08,3.2336555e-08,,,,6.093441e-08,5.6910622e-08,5.0783463e-08,,,,7.315113e-10,6.7563466e-10,5.870299e-10,,,,3.610079e-10,4.3744097e-10,3.7626777e-10,,,,7.0124906e-10,7.2941325e-10,5.107581e-10,,,,1.0052774e-09,9.813909e-10,6.290749e-10,,,,0.43801212,0.5798193,0.59845823,1.7189625e-07,1.1291833e-07,1.3564859e-07
3,benin,9.30769,2.315834,-0.043459337544083466,-0.04244140055790131,-0.043478227344637146,1983,3932289,0.46661848,0.46534845,0.3692694,0.3637254,,,0.6123797,0.4825041,0.45494244,0.50938535,,,0.005785415,0.005753751,0.0045382977,0.004498903,,,0.0076872427,0.0060219774,0.0057128835,0.006357161,,,7.974463e-08,7.063373e-08,6.9427735e-08,6.005685e-08,,,4.890211e-08,3.9351054e-08,4.618533e-08,4.2431584e-08,,,9.752346e-10,8.642006e-10,8.463925e-10,7.105101e-10,,,8.059989e-08,2.5924123e-07,1.8018818e-07,1.6242501e-07,,,3.7599878,3.75056,3.7485876,3.7684722,,,5.6612894e-06,1.7445107e-05,1.2804219e-05,1.1270936e-05,,,300.06506,299.32474,299.14087,300.88632,,,3.7689426e-07,4.9971004e-07,5.125076e-07,6.0978226e-07,,,3.7551115,3.7428744,3.7451851,3.747034,,,2.967207e-05,3.754756e-05,3.9216233e-05,4.5491888e-05,,,299.7705,298.79175,298.9254,299.10657,,,4.010164e-08,3.06275e-08,3.724084e-08,3.2336555e-08,,,6.920514e-08,6.093441e-08,5.6910622e-08,5.0783463e-08,,,8.3117035e-10,7.315113e-10,6.7563466e-10,5.870299e-10,,,4.746196e-10,3.610079e-10,4.3744097e-10,3.7626777e-10,,,8.526674e-10,7.0124906e-10,7.2941325e-10,5.107581e-10,,,1.4021904e-09,1.0052774e-09,9.813909e-10,6.290749e-10,,,0.5279394,0.70987374,0.5450199,2.0668146e-07,8.77466e-08,1.5864919e-07
4,benin,9.30769,2.315834,0.07930119484520085,0.08031821864540208,0.07929839564253366,1984,3936256,0.39754567,0.46661848,0.46534845,0.3692694,0.3637254,,0.5047204,0.6123797,0.4825041,0.45494244,0.50938535,,0.004915441,0.005785415,0.005753751,0.0045382977,0.004498903,,0.006313496,0.0076872427,0.0060219774,0.0057128835,0.006357161,,5.9286535e-08,7.974463e-08,7.063373e-08,6.9427735e-08,6.005685e-08,,4.1967713e-08,4.890211e-08,3.9351054e-08,4.618533e-08,4.2431584e-08,,7.088269e-10,9.752346e-10,8.642006e-10,8.463925e-10,7.105101e-10,,1.6416948e-07,8.059989e-08,2.5924123e-07,1.8018818e-07,1.6242501e-07,,3.7654269,3.7599878,3.75056,3.7485876,3.7684722,,1.1891018e-05,5.6612894e-06,1.7445107e-05,1.2804219e-05,1.1270936e-05,,300.52133,300.06506,299.32474,299.14087,300.88632,,4.2728058e-07,3.7689426e-07,4.9971004e-07,5.125076e-07,6.0978226e-07,,3.7504473,3.7551115,3.7428744,3.7451851,3.747034,,3.2502223e-05,2.967207e-05,3.754756e-05,3.9216233e-05,4.5491888e-05,,299.35388,299.7705,298.79175,298.9254,299.10657,,3.2858182e-08,4.010164e-08,3.06275e-08,3.724084e-08,3.2336555e-08,,4.9441933e-08,6.920514e-08,6.093441e-08,5.6910622e-08,5.0783463e-08,,5.7888117e-10,8.3117035e-10,7.315113e-10,6.7563466e-10,5.870299e-10,,3.8827458e-10,4.746196e-10,3.610079e-10,4.3744097e-10,3.7626777e-10,,6.2067396e-10,8.526674e-10,7.0124906e-10,7.2941325e-10,5.107581e-10,,7.980666e-10,1.4021904e-09,1.0052774e-09,9.813909e-10,6.290749e-10,,0.46512902,0.623844,0.52540725,1.6638374e-07,1.14110804e-07,1.5202252e-07
5,benin,9.30769,2.315834,0.07528736405151494,0.07631943204452088,0.07530324836538595,1985,3940225,0.39786527,0.39754567,0.46661848,0.46534845,0.3692694,0.3637254,0.4865047,0.5047204,0.6123797,0.4825041,0.45494244,0.50938535,0.0048833666,0.004915441,0.005785415,0.005753751,0.0045382977,0.004498903,0.0060470407,0.006313496,0.0076872427,0.0060219774,0.0057128835,0.006357161,6.33263e-08,5.9286535e-08,7.974463e-08,7.063373e-08,6.9427735e-08,6.005685e-08,4.5710177e-08,4.1967713e-08,4.890211e-08,3.9351054e-08,4.618533e-08,4.2431584e-08,7.6292583e-10,7.088269e-10,9.752346e-10,8.642006e-10,8.463925e-10,7.105101e-10,8.7877325e-08,1.6416948e-07,8.059989e-08,2.5924123e-07,1.8018818e-07,1.6242501e-07,3.7629018,3.7654269,3.7599878,3.75056,3.7485876,3.7684722,5.876057e-06,1.1891018e-05,5.6612894e-06,1.7445107e-05,1.2804219e-05,1.1270936e-05,300.31934,300.52133,300.06506,299.32474,299.14087,300.88632,4.7621074e-07,4.2728058e-07,3.7689426e-07,4.9971004e-07,5.125076e-07,6.0978226e-07,3.7480063,3.7504473,3.7551115,3.7428744,3.7451851,3.747034,3.6028363e-05,3.2502223e-05,2.967207e-05,3.754756e-05,3.9216233e-05,4.5491888e-05,299.16977,299.35388,299.7705,298.79175,298.9254,299.10657,3.625194e-08,3.2858182e-08,4.010164e-08,3.06275e-08,3.724084e-08,3.2336555e-08,5.332481e-08,4.9441933e-08,6.920514e-08,6.093441e-08,5.6910622e-08,5.0783463e-08,6.298469e-10,5.7888117e-10,8.3117035e-10,7.315113e-10,6.7563466e-10,5.870299e-10,4.2259704e-10,3.8827458e-10,4.746196e-10,3.610079e-10,4.3744097e-10,3.7626777e-10,6.5947114e-10,6.2067396e-10,8.526674e-10,7.0124906e-10,7.2941325e-10,5.107581e-10,8.5608615e-10,7.980666e-10,1.4021904e-09,1.0052774e-09,9.813909e-10,6.290749e-10,0.4271905,0.60295814,0.4862478,1.7341516e-07,1.2634975e-07,1.5218615e-07
6,benin,9.30769,2.315834,0.021484700442020697,0.021985237177809442,0.021711415978628704,1986,3944196,0.380685,0.39786527,0.39754567,0.46661848,0.46534845,0.3692694,0.47982153,0.4865047,0.5047204,0.6123797,0.4825041,0.45494244,0.0046886243,0.0048833666,0.004915441,0.005785415,0.005753751,0.0045382977,0.0059738765,0.0060470407,0.006313496,0.0076872427,0.0060219774,0.0057128835,6.3316044e-08,6.33263e-08,5.9286535e-08,7.974463e-08,7.063373e-08,6.9427735e-08,4.5028738e-08,4.5710177e-08,4.1967713e-08,4.890211e-08,3.9351054e-08,4.618533e-08,7.650106e-10,7.6292583e-10,7.088269e-10,9.752346e-10,8.642006e-10,8.463925e-10,1.4493082e-07,8.7877325e-08,1.6416948e-07,8.059989e-08,2.5924123e-07,1.8018818e-07,3.7552118,3.7629018,3.7654269,3.7599878,3.75056,3.7485876,9.81985e-06,5.876057e-06,1.1891018e-05,5.6612894e-06,1.7445107e-05,1.2804219e-05,299.76303,300.31934,300.52133,300.06506,299.32474,299.14087,4.6655055e-07,4.7621074e-07,4.2728058e-07,3.7689426e-07,4.9971004e-07,5.125076e-07,3.7479112,3.7480063,3.7504473,3.7551115,3.7428744,3.7451851,3.565813e-05,3.6028363e-05,3.2502223e-05,2.967207e-05,3.754756e-05,3.9216233e-05,299.20703,299.16977,299.35388,299.7705,298.79175,298.9254,3.5725257e-08,3.625194e-08,3.2858182e-08,4.010164e-08,3.06275e-08,3.724084e-08,5.27702e-08,5.332481e-08,4.9441933e-08,6.920514e-08,6.093441e-08,5.6910622e-08,6.22287e-10,6.298469e-10,5.7888117e-10,8.3117035e-10,7.315113e-10,6.7563466e-10,4.215236e-10,4.2259704e-10,3.8827458e-10,4.746196e-10,3.610079e-10,4.3744097e-10,7.2856227e-10,6.5947114e-10,6.2067396e-10,8.526674e-10,7.0124906e-10,7.2941325e-10,8.6926283e-10,8.5608615e-10,7.980666e-10,1.4021904e-09,1.0052774e-09,9.813909e-10,0.46409592,0.57091874,0.5092761,1.7877453e-07,1.0879732e-07,1.5344794e-07
7,benin,9.30769,2.315834,-0.014999963480217943,-0.014879220264284315,-0.015000029494444268,1987,3948169,0.3704781,0.380685,0.39786527,0.39754567,0.46661848,0.46534845,0.46380055,0.47982153,0.4865047,0.5047204,0.6123797,0.4825041,0.004548398,0.0046886243,0.0048833666,0.004915441,0.005785415,0.005753751,0.005761763,0.0059738765,0.0060470407,0.006313496,0.0076872427,0.0060219774,7.240834e-08,6.3316044e-08,6.33263e-08,5.9286535e-08,7.974463e-08,7.063373e-08,4.374178e-08,4.5028738e-08,4.5710177e-08,4.1967713e-08,4.890211e-08,3.9351054e-08,8.728125e-10,7.650106e-10,7.6292583e-10,7.088269e-10,9.752346e-10,8.642006e-10,8.4560895e-08,1.4493082e-07,8.7877325e-08,1.6416948e-07,8.059989e-08,2.5924123e-07,3.7665505,3.7552118,3.7629018,3.7654269,3.7599878,3.75056,5.7610628e-06,9.81985e-06,5.876057e-06,1.1891018e-05,5.6612894e-06,1.7445107e-05,300.5919,299.76303,300.31934,300.52133,300.06506,299.32474,4.4863629e-07,4.6655055e-07,4.7621074e-07,4.2728058e-07,3.7689426e-07,4.9971004e-07,3.7632513,3.7479112,3.7480063,3.7504473,3.7551115,3.7428744,3.3189637e-05,3.565813e-05,3.6028363e-05,3.2502223e-05,2.967207e-05,3.754756e-05,300.43967,299.20703,299.16977,299.35388,299.7705,298.79175,3.4105796e-08,3.5725257e-08,3.625194e-08,3.2858182e-08,4.010164e-08,3.06275e-08,6.2720744e-08,5.27702e-08,5.332481e-08,4.9441933e-08,6.920514e-08,6.093441e-08,7.409957e-10,6.22287e-10,6.298469e-10,5.7888117e-10,8.3117035e-10,7.315113e-10,3.930592e-10,4.215236e-10,4.2259704e-10,3.8827458e-10,4.746196e-10,3.610079e-10,7.02852e-10,7.2856227e-10,6.5947114e-10,6.2067396e-10,8.526674e-10,7.0124906e-10,1.0552712e-09,8.6926283e-10,8.5608615e-10,7.980666e-10,1.4021904e-09,1.0052774e-09,0.4079495,0.5527067,0.44941366,1.8594253e-07,1.0333061e-07,1.5129446e-07
8,benin,9.30769,2.315834,0.030344531981578944,0.030950001050595043,0.03405245294851058,1988,3952144,0.3926626,0.3704781,0.380685,0.39786527,0.39754567,0.46661848,0.48255402,0.46380055,0.47982153,0.4865047,0.5047204,0.6123797,0.0048036696,0.004548398,0.0046886243,0.0048833666,0.004915441,0.005785415,0.005965044,0.005761763,0.0059738765,0.0060470407,0.006313496,0.0076872427,6.834852e-08,7.240834e-08,6.3316044e-08,6.33263e-08,5.9286535e-08,7.974463e-08,4.711795e-08,4.374178e-08,4.5028738e-08,4.5710177e-08,4.1967713e-08,4.890211e-08,8.102454e-10,8.728125e-10,7.650106e-10,7.6292583e-10,7.088269e-10,9.752346e-10,1.3406446e-07,8.4560895e-08,1.4493082e-07,8.7877325e-08,1.6416948e-07,8.059989e-08,3.7714832,3.7665505,3.7552118,3.7629018,3.7654269,3.7599878,9.304886e-06,5.7610628e-06,9.81985e-06,5.876057e-06,1.1891018e-05,5.6612894e-06,301.06143,300.5919,299.76303,300.31934,300.52133,300.06506,5.2091946e-07,4.4863629e-07,4.6655055e-07,4.7621074e-07,4.2728058e-07,3.7689426e-07,3.7550755,3.7632513,3.7479112,3.7480063,3.7504473,3.7551115,3.808113e-05,3.3189637e-05,3.565813e-05,3.6028363e-05,3.2502223e-05,2.967207e-05,299.7789,300.43967,299.20703,299.16977,299.35388,299.7705,3.7816996e-08,3.4105796e-08,3.5725257e-08,3.625194e-08,3.2858182e-08,4.010164e-08,5.7786426e-08,6.2720744e-08,5.27702e-08,5.332481e-08,4.9441933e-08,6.920514e-08,6.68514e-10,7.409957e-10,6.22287e-10,6.298469e-10,5.7888117e-10,8.3117035e-10,4.3602222e-10,3.930592e-10,4.215236e-10,4.2259704e-10,3.8827458e-10,4.746196e-10,7.211705e-10,7.02852e-10,7.2856227e-10,6.5947114e-10,6.2067396e-10,8.526674e-10,9.598318e-10,1.0552712e-09,8.6926283e-10,8.5608615e-10,7.980666e-10,1.4021904e-09,0.41229692,0.5163085,0.51519686,1.8814161e-07,1.1016345e-07,1.6392416e-07
9,benin,9.30769,2.315834,-0.007075795361097559,-0.005287098324390908,-0.028541604962656,1989,3956121,0.4082228,0.3926626,0.3704781,0.380685,0.39786527,0.39754567,0.46976566,0.48255402,0.46380055,0.47982153,0.4865047,0.5047204,0.005036863,0.0048036696,0.004548398,0.0046886243,0.0048833666,0.004915441,0.005886644,0.005965044,0.005761763,0.0059738765,0.0060470407,0.006313496,7.8076965e-08,6.834852e-08,7.240834e-08,6.3316044e-08,6.33263e-08,5.9286535e-08,5.5008215e-08,4.711795e-08,4.374178e-08,4.5028738e-08,4.5710177e-08,4.1967713e-08,9.582104e-10,8.102454e-10,8.728125e-10,7.650106e-10,7.6292583e-10,7.088269e-10,1.1217275e-07,1.3406446e-07,8.4560895e-08,1.4493082e-07,8.7877325e-08,1.6416948e-07,3.753453,3.7714832,3.7665505,3.7552118,3.7629018,3.7654269,7.704079e-06,9.304886e-06,5.7610628e-06,9.81985e-06,5.876057e-06,1.1891018e-05,299.60373,301.06143,300.5919,299.76303,300.31934,300.52133,4.939592e-07,5.2091946e-07,4.4863629e-07,4.6655055e-07,4.7621074e-07,4.2728058e-07,3.7467775,3.7550755,3.7632513,3.7479112,3.7480063,3.7504473,3.742085e-05,3.808113e-05,3.3189637e-05,3.565813e-05,3.6028363e-05,3.2502223e-05,299.09366,299.7789,300.43967,299.20703,299.16977,299.35388,4.4699423e-08,3.7816996e-08,3.4105796e-08,3.5725257e-08,3.625194e-08,3.2858182e-08,6.760544e-08,5.7786426e-08,6.2720744e-08,5.27702e-08,5.332481e-08,4.9441933e-08,8.135593e-10,6.68514e-10,7.409957e-10,6.22287e-10,6.298469e-10,5.7888117e-10,5.307145e-10,4.3602222e-10,3.930592e-10,4.215236e-10,4.2259704e-10,3.8827458e-10,8.820523e-10,7.211705e-10,7.02852e-10,7.2856227e-10,6.5947114e-10,6.2067396e-10,1.3738295e-09,9.598318e-10,1.0552712e-09,8.6926283e-10,8.5608615e-10,7.980666e-10,0.41845688,0.6455243,0.51518893,2.038857e-07,1.2940058e-07,1.684657e-07
