Country Name,Country Code,Series Name,Series Code,1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Benin,BEN,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2696279536.50696,2879134847.99149,3165730586.35962,3236486765.25439,3095770057.87675,3341259656.74457,3592867362.52965,3670873600.39357,3615810388.11729,3738937601.22939,3632222321.23508,3958255477.06654,4125523414.03257,4247544466.72825,4495438471.19399,4586264330.18832,4863513119.58136,5073825240.77247,5364793307.03368,5577293421.1214,5875201725.54095,6219354251.61579,6551040853.89379,6855207703.09519,7091272043.49982,7405393025.88227,7532259594.99787,7829312241.28345,8298002221.53926,8704320296.77356,8906198913.18118,9094481722.87524,9364019690.4087,9814543589.03926,10520349986.3078,11189200078.4152,11388160958.249,11768488343.5155,12435944687.8335
Burkina Faso,BFA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2135478942.38886,2152496122.90425,2244091363.48858,2458675792.05988,2467182435.09893,2423298742.87483,2629699941.73324,2838902110.75703,2832192740.53431,2996335103.75436,3060764316.96266,3042310097.1897,3318247150.21709,3325969068.44029,3441093660.86632,3486344292.74658,3685636766.66074,4091600216.47068,4350059840.1554,4667950017.22733,5013156021.43868,5107828163.92166,5445629565.17945,5682675850.46101,6126066286.40807,6400419232.9076,6954815432.94898,7389711495.72987,7693530543.6276,8139754679.75346,8380850213.3838,9088720420.95919,9690626621.56382,10315931008.977,10913490065.2338,11385699931.5135,11832159275.603,12537116569.2425,13314855268.0876
Cameroon,CMR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,11337071763.4672,11114265236.6097,13012879851.2635,13990954265.6996,14951689389.7078,16069264259.5481,17364955016.2757,18540851264.058,18142844041.1064,16723414693.5203,16419195626.4362,15416689185.5672,14829529257.9929,14369813374.85,13229990211.316,13478291888.175,13868353841.0683,14452914961.4216,15107243770.0945,15821141839.0264,16534881678.6853,17168567426.5747,17910981125.0542,18712860555.3526,19733301601.382,21124274961.7047,21594980886.9112,22417659666.4955,23387803843.1696,24053813161.9883,24674221564.9986,25389533348.6282,26247499325.4413,27461703058.6152,28833560442.596,30482787664.3604,32210232911.6626,33671222799.3745,34863580244.995
Central African Republic,CAF,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1410605198.19004,1347429285.79271,1326618703.1175,1428977731.85715,1312851662.24047,1437332668.2125,1493779877.58432,1547227011.70926,1470809657.0471,1495962933.20629,1525542165.99595,1492780719.82647,1484532464.37756,1389164937.96953,1393822470.22617,1462119066.13248,1567392304.99919,1504695155.69416,1584443036.21582,1658914114.82883,1718634606.64694,1675850359.21904,1750672704.2313,1813986521.21501,1716076866.86578,1818953688.29765,1835473616.95542,1923045631.27357,2011650629.00283,2052972567.42054,2229266668.2677,2332499960.04546,2430339361.11484,2553162910.07711,1624016448.55729,1625333047.06112,1695825708.45604,1776382802.68262,1856804594.29617
Chad,TCD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1600847787.51187,1504033784.15723,1519719624.7614,1600973090.98407,1851985143.63293,1889930447.0693,2301798709.28104,2207846939.0513,2155105703.76333,2488766907.15831,2610336577.89193,2501264385.14823,2714750731.31674,2931969973.07684,2471362268.09204,2721881484.22562,2755538891.12468,2816559556.8286,2975790718.72462,3182655188.59647,3160922420.7253,3133116385.96115,3498379313.11225,3795434040.85243,4354185202.01074,5818470334.73997,6826958668.37461,6871215248.13962,7096007026.04689,7312626231.63889,7621050542.93753,8653710578.06277,8660881890.57623,9430191312.98703,9967712346.34747,10655483007.6061,10950392219.9104,10265387468.6306,9958586245.45557
"Congo, Rep.",COG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2971696015.4589,3495802317.75473,4111752984.1697,5082032116.45859,5379532388.06564,5754815617.67073,5686583021.61838,5296396624.24223,5306426762.23843,5400152237.54876,5540549527.46434,5595955220.36728,5729998910.38449,5879663505.4952,5822061429.40117,5502251185.13963,5721533742.96589,5967015093.08286,5929732457.65405,6151359337.36735,5992518976.04113,6446511038.84849,6691646190.03973,6998248723.41516,7055162966.25308,7300444992.86368,7866649910.83651,8494899323.92561,7933047123.90598,8433334900.42908,9414746443.32232,10349749902.4652,10578057039.5658,11630272572.6194,11547414504.1216,12323017307.5849,11885478502.1168,10603839035.8641,10139122508.5674
Cote d'Ivoire,CIV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,23791044993.1273,21184094306.3578,21925643296.1029,21969674888.5822,21112804743.5491,20542492691.3292,21467156133.1183,22166845621.9271,22089489335.8305,22340532839.7559,22999132852.6042,22747083421.1799,22756392703.3846,22700739530.1127,22657043988.9525,22840839444.3806,24468419356.0303,26359663602.9928,28903065381.4848,30135464902.9329,30487103583.7698,30406072074.5865,29751121484.1866,28938759235.7763,27571152082.8221,28449303816.6582,28732677534.7058,29541668653.3179,29867049384.831,31295490595.2719,32423167757.1278,34643522302.3377,32783010214.6729,35281210581.2262,39077544035.2314,42739891439.6219,45814637971.4745,49103766045.2254,52717625513.8388
Equatorial Guinea,GNQ,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,132086051.080037,139706650.792989,142782538.519019,149927929.594488,151444273.193663,170988427.534954,167003445.867444,174412950.146416,179044071.251872,176843300.775428,173733398.002944,171957427.665213,231704586.22124,257269046.836751,300152801.154033,352638311.563995,587424889.605563,1468403404.81293,1817508712.82273,2283954429.52383,2699948863.63471,4411173089.94672,5269712387.48044,6005113942.10675,8286980786.33799,9674942387.46496,10420388726.904,12012844403.0027,14151023688.3164,14341122354.8584,13061295371.5232,13913404306.6369,15070007775.8487,14447134440.3091,14507099626.9173,13185496881.4055,12023008462.2024,11341604102.079
Gabon,GAB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,6701028969.22081,6872102027.72108,7222258254.41941,6998547331.80659,7391042710.22575,7946028886.90841,7760652059.01559,7698287634.93325,6378335987.22336,7197655776.13204,7812717774.2031,8218372618.78488,8720720931.355,8451237952.71145,8784770707.36393,9110927707.08021,9564091381.05935,9910794381.96711,10479512175.3514,10843972169.5593,9875321038.86609,9689372062.04823,9896262772.69652,9871617795.94629,10093465625.2956,10163064416.8734,10435048685.5438,10142180867.7295,10751534050.3411,10395827002.6048,10409376000.3515,11147389028.9243,11937934362.9942,12564804478.7562,13273295983.6773,13846033985.5316,14383107714.0388,14683922099.6348,14753324487.264
"Gambia, The",GMB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,458258683.410621,486991867.670496,503169221.352462,499322076.842749,553664435.766931,573237898.175023,568581689.30487,591842768.419131,606368558.402168,633514629.282643,670864889.841141,694740161.997388,716326011.323488,740528437.976655,762833905.234587,764011308.547646,770748728.83124,787886678.574085,826493118.811998,855420367.242976,910167262.620829,960226464.033935,1015919601.2835,982902212.720932,1050427591.01692,1124482736.1904,1098037945.51549,1091937455.56725,1125167836.81472,1195557273.78416,1275249825.5969,1350595867.70556,1240786424.0015,1305823103.61432,1343336382.19183,1324430501.09843,1378176868.31568,1404959801.54615,1472715550.98331
