GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
{F8ADC871-E88F-44BD-9043-30F60C68B005},GHA,Ghana,CENTRAL,AJUMAKO-ENYAN-ESSIAM,NA,NA,NA,NA,-0.9858655668257514,5.4198326914269295,-0.9858655668257514,5.4198326914269295,0,Not applicable,L,515.1961461690761,0.6711744805822539,514.5249716884938,91542,111987,136137,162963,191480,177.91556296984123,217.65124369473696,264.5877411027209,316.7251522607572,372.1490900074851,138046.0,73628.0,64418.0,19626.375373623738,17711.501394234794,17254.276560165705,15291.837655614383,12274.26706089873,10206.598809438721,8303.282682223871,7458.934499071318,6320.544243538426,5266.025628152411,4946.411254379496,3181.4916062053017,2880.120227797031,7324.333004656046,1899.8459534341346,5424.487051221911,2127.6740413923185,3296.8130098295933,1200.630017976508,2096.1829918530852,1015.4157688058239,1080.7672230472613,9840.6685194977,8953.489446937745,8687.105587926553,7986.081974315625,6619.706019790733,5697.942433737845,4580.626117971678,4127.958945987456,3463.757291289522,2900.1128264703034,2822.377579876205,1721.8740682664913,1628.0292146479571,4598.269973284155,1101.2706357537345,3496.9993375304202,1316.768593211553,2180.230744318867,739.5076748359669,1440.7230694829,693.5441532067258,747.178916276174,9785.706854126038,8758.01194729705,8567.170972239152,7305.755681298758,5654.561041107997,4508.656375700877,3722.6565642521946,3330.975553083862,2856.7869522489036,2365.912801682107,2124.033674503291,1459.6175379388105,1252.091013149074,2726.0630313718925,798.5753176804,1927.4877136914924,810.9054481807656,1116.5822655107268,461.12234314054126,655.4599223701854,321.87161559909805,333.58830677108733
{7F5B617F-D120-41B0-A7C0-DA11162B8998},GHA,Ghana,UPPER WEST,LAMBUSSIE KARNI,NA,NA,NA,NA,-2.61588518784146,10.856998770108483,-2.61588518784146,10.856998770108483,0,Not applicable,L,649.2205178941163,0.0,649.2205178941163,35549,42688,50940,59856,69036,54.75643332301124,65.75269700111687,78.46332424186876,92.19671644721822,106.33675014451613,51654.0,26702.000000000004,24952.0,7203.632389116177,7563.6371198115085,6758.817184251146,5760.637627841639,4336.545286447454,3472.6812723547164,3048.468923431081,2530.0415555329228,2245.9917865473385,1740.062949354976,1637.7447885045672,997.1750031498168,1241.166808815096,3117.397304841553,706.7439316851985,2410.653373156354,905.6694839777356,1504.9838891786187,636.2087594180186,868.7751297606001,489.5652545149088,379.20987524569125,3550.1509276088304,3700.4073831899996,3216.9381871176524,2759.584465599787,2214.5626496143277,1914.0497384519902,1725.8407660253567,1421.110908546857,1287.2783491444277,975.5202478056566,917.7406851227946,529.2637534355882,709.4827223158081,1780.069216020924,393.80360071814874,1386.2656153027751,540.7308881549783,845.5347271477967,371.68312793687386,473.8515992109229,275.0632702367231,198.78832897419983,3653.4814615073465,3863.2297366215084,3541.8789971334936,3001.053162241852,2121.9826368331264,1558.631533902726,1322.6281574057243,1108.930646986066,958.7134374029107,764.5427015493194,720.0041033817726,467.91124971422863,531.6840864992877,1337.3280888206289,312.94033096704976,1024.3877578535792,364.93859582275724,659.449162030822,264.52563148114484,394.92353054967714,214.50198427818574,180.4215462714914
{A6FC3CBF-ACCF-4909-BAE3-5861BE0FFE2E},GHA,Ghana,BRONG AHAFO,ATEBUBU AMANTIN,NA,NA,NA,NA,-1.055826531224206,7.678697562829132,-1.055826531224206,7.678697562829132,0,Not applicable,L,2336.763547062747,0.0,2336.763547062747,73232,87745,104473,122487,140960,31.339071551356056,37.54979835691688,44.70841738836603,52.41737023583883,60.322748605516026,105938.0,52264.0,53674.00000000001,15024.648351108786,14272.050171371797,13488.75170186669,11629.452377498092,9788.055768067794,8345.1565006204,6793.763608419181,5840.19484377693,4874.283526932271,3845.668129322963,3402.8657264311623,2087.9482209851008,1797.9272762912653,4747.2337973075655,1061.993102274239,3685.2406950333266,1464.0875370552071,2221.1531579781195,923.6973167707472,1297.455841207372,670.4528065468642,627.0030346605079,7201.346425189069,6799.585352128142,6433.064118753174,5487.506588248212,5007.41981552905,4409.463400908629,3524.97032543201,2948.6240924001813,2411.9563048162836,1891.7875770344647,1685.2354886970365,981.96306463346,870.5944109694333,2610.4830352608533,528.2389200763139,2082.2441151845396,807.826248678919,1274.4178665056206,520.8860782079965,753.5317882976242,388.0865805619227,365.44520773570144,7823.301925919717,7472.464819243655,7055.687583113516,6141.94578924988,4780.635952538744,3935.693099711771,3268.7932829871706,2891.5707513767484,2462.327222115988,1953.8805522884982,1717.6302377341256,1105.9851563516406,927.3328653218321,2136.750762046712,533.7541821979252,1602.996579848787,656.2612883762882,946.7352914724987,402.81123856275065,543.9240529097481,282.36622598494154,261.5578269248065
{E5B6D043-B152-48F0-9CF7-A0717644E99A},GHA,Ghana,EASTERN,BIRIM NORTH,NA,NA,NA,NA,-0.9843126481854378,6.388833872379118,-0.9843126481854378,6.388833872379118,0,Not applicable,L,493.4181090050067,0.0,493.4181090050067,55010,65633,77816,90848,104109,111.48759844045735,133.01700687952257,157.70803418001506,184.11971174547662,210.99549874636563,78907.0,39335.0,39572.0,10767.002804675902,9854.442692582003,9708.558640454372,8377.576385734104,6635.814334626587,5787.705559938326,4808.271537048647,4398.354375214429,3871.114885085218,3327.5176497350712,3069.885091400132,2022.5921409707912,1774.2338596506765,4503.930042883743,1118.9503569464669,3384.9796859372764,1366.0418638441195,2018.937822093157,814.2952755960889,1204.642546497068,598.1985154161847,606.4440310808832,5147.243364627983,4701.83644976408,4567.4204183626725,3960.0580062043105,3429.3373416802287,3048.443090536006,2481.3058769639842,2269.779341062032,1969.5698655236235,1695.317801454624,1590.7557229734512,1010.4933171460173,895.7650741277284,2567.674329573258,583.6022984995699,1984.0720310736883,764.3080704446174,1219.7639606290709,455.04572792647184,764.718232702599,375.09338492419647,389.62484777840257,5619.759440047918,5152.606242817923,5141.1382220917,4417.5183795297935,3206.476992946358,2739.2624694023193,2326.9656600846624,2128.5750341523967,1901.545019561594,1632.1998482804472,1479.1293684266807,1012.0988238247741,878.4687855229482,1936.2557133104851,535.348058446897,1400.907654863588,601.733793399502,799.173861464086,359.24954766961713,439.92431379446884,223.10513049198823,216.8191833024806
{F0FC4C1A-FFAD-44C2-BE63-B8F108453EFD},GHA,Ghana,EASTERN,ASUOGYAMAN,NA,NA,NA,NA,0.08992562510668257,6.403646496094094,0.08992562510668257,6.403646496094094,0,Not applicable,L,816.9281774005791,298.5763077256377,518.3505413022455,75570,85750,96690,107357,117004,145.78937220774662,165.42859159473696,186.53400024833957,207.1127382838038,225.72369598776214,98046.0,51016.0,47030.0,13354.675365952618,12221.803557388042,12033.841713876584,10386.117740663845,8258.510979666344,7209.236759746665,5983.68036476582,5473.557855967661,4814.37998837001,4138.577746803795,3821.045553480126,2513.417067121142,2205.8040601055795,5631.3512460917445,1393.15328310607,4238.197962985674,1706.419029471475,2531.7789335141993,1017.1331000499968,1514.6458334642025,751.6348583374164,763.010975126786,6675.779013343362,6098.103173284968,5923.770689289184,5136.044724660456,4447.720193800903,3953.714826662892,3218.159415766991,2943.8175381624656,2554.4572584098933,2198.762754773333,2063.1497130599605,1310.571426656189,1161.773255922211,3330.176016207177,756.9100002606851,2573.2660159464917,991.2785184136924,1581.9874975327994,590.1770142594861,991.8104832733134,486.481864123371,505.32861914994237,6678.8963526092575,6123.700384103075,6110.071024587401,5250.07301600339,3810.7907858654403,3255.5219330837726,2765.5209489988288,2529.7403178051954,2259.922729960117,1939.8149920304616,1757.8958404201653,1202.8456404649528,1044.0308041833684,2301.175229884567,636.2432828453847,1664.9319470391824,715.1405110577826,949.7914359813999,426.9560857905107,522.8353501908891,265.1529942140454,257.6823559768437
{BA565BCA-9650-428D-932A-061678CB0CD0},GHA,Ghana,GREATER ACCRA,ACCRA METROPOLIS,NA,NA,NA,NA,-0.21387110926386896,5.583103187099187,-0.21387110926386896,5.583103187099187,0,Not applicable,L,168.53355170420653,6.606769489562544,161.9260684281261,1299358,1543947,1823044,2119667,2419125,8024.390467905076,9534.888452413144,11258.496038945033,13090.338205431412,14939.688361999439,1848614.0,960941.0,887673.0,216534.05981712934,183207.36555610364,178094.16312253592,179095.8272683295,211202.8597998919,204424.45391416858,164590.05051451232,130176.54789550195,101639.08816703323,76299.41921684466,62966.92526667344,42363.82462073012,32472.353840757307,65547.06099978794,20749.252429613574,44797.80857017437,17919.1020282366,26878.706541937765,10832.801929681278,16045.904612256487,7898.890082661777,8147.01452959471,107436.69065255868,92262.58808135228,94170.71431860449,96579.75847910228,112368.87694496023,108413.0167899957,84184.82275612514,66277.00700009508,51293.99534034903,39238.10684134646,33176.99997007475,21822.396563616014,16870.266316863024,36845.759944956844,10994.684602348938,25851.075342607906,9879.678410235592,15971.396932372314,6132.070243731505,9839.32668864081,4741.559193833082,5097.767494807727,109097.36916457066,90944.77747475136,83923.44880393142,82516.06878922724,98833.98285493169,96011.43712417288,80405.22775838718,63899.54089540686,50345.0928266842,37061.31237549819,29789.925296598685,20541.428057114106,15602.087523894283,28701.301054831096,9754.567827264636,18946.73322756646,8039.423618001007,10907.309609565451,4700.731685949774,6206.577923615678,3157.330888828696,3049.247034786982
{9E49B752-296D-4B43-B077-BF4687CB49F7},GHA,Ghana,GREATER ACCRA,LEDZOKUKU/KROWOR MUNICIPAL,NA,NA,NA,NA,-0.10985435271620528,5.597562445226799,-0.10985435271620528,5.597562445226799,0,Not applicable,L,38.342567532844875,0.0,38.342567532844875,160209,190367,224779,261353,298275,4178.358683537881,4964.899646768008,5862.387796734024,6816.2623636542,7779.213005088736,227932.0,118747.0,109185.0,26695.471954530476,22587.558759109925,21959.719824715532,22084.304560050696,26042.549651449393,25206.5325115768,20292.980590774598,16049.82400054327,12531.10259932913,9407.389020544048,7764.005225646662,5223.297400665289,4003.798843116322,8083.465057947889,2558.478718111933,5524.986339835957,2209.7282209374885,3315.258118898468,1335.958849536928,1979.2992693615402,974.2878836378186,1005.0113857237217,13276.345483145571,11401.22603458104,11637.020184580873,11934.714597585034,13885.83381350488,13396.993680945678,10403.026978577867,8190.092576173034,6338.586931643489,4848.79662028092,4099.803437928517,2696.673494772011,2084.7206169041942,4553.165549376903,1358.653457886727,3194.5120914901763,1220.8680576437532,1973.644033846423,757.7623862780182,1215.8816475684048,585.9318413826624,629.9498061857423,13419.126471384903,11186.332724528887,10322.69964013466,10149.58996246566,12156.715837944512,11809.538830631122,9889.953612196728,7859.731424370237,6192.515667685641,4558.592400263127,3664.201787718145,2526.6239058932783,1919.0782262121277,3530.2995085709863,1199.8252602252062,2330.4742483457803,988.8601632937352,1341.6140850520453,578.1964632589097,763.4176217931356,388.35604225515624,375.0615795379794
{DBA84458-BD15-4122-B8BC-BB31686C91F0},GHA,Ghana,CENTRAL,AGONA EAST,NA,NA,NA,NA,-0.6790779964454295,5.638640670904444,-0.6790779964454295,5.638640670904444,0,Not applicable,L,305.0253914791884,0.0,305.0253914791884,67541,75888,84732,93158,100535,221.42746763627468,248.79240259963004,277.78671011321757,305.41063990850114,329.59551174564893,85920.0,44885.0,41035.0,12232.661563357102,11037.167312932565,10753.206875902477,9522.313912325168,7637.515883889992,6345.637306825313,5163.809636727003,4638.350031449101,3931.376791291841,3275.0762014965158,3073.6075874183744,1979.4795021104178,1790.0731707220916,4539.724223552062,1180.0566654974998,3359.667558054562,1319.2826672799501,2040.384890774612,744.5578374511546,1295.8270533234572,627.8333185584775,667.9937347649798,5999.054795698032,5458.213910819267,5295.821349406254,4868.464299141048,4035.4960707652967,3473.571822381749,2792.4349881180924,2516.480649897418,2111.5709515337962,1767.9627888319617,1720.5739348175089,1049.6864990783602,992.4769286069649,2803.1910109042683,671.355088903765,2131.835922000503,802.7266570638969,1329.109264936606,450.8176506901233,878.2916142464826,422.79743191019605,455.4941823362865,6233.60676765907,5578.953402113299,5457.385526496222,4653.849613184118,3602.0198131246957,2872.0654844435644,2371.374648608911,2121.8693815516826,1819.805839758045,1507.1134126645543,1353.0336526008657,929.7930030320576,797.5962421151269,1736.5332126477942,508.70157659373484,1227.8316360540593,516.5560102160533,711.2756258380059,293.7401867610313,417.5354390769747,205.03588664828135,212.49955242869333
{8ADEB24B-B70C-4B9A-923B-6C84A40BB67A},GHA,Ghana,CENTRAL,TWIFO-HEMAN-LOWER DENKYIRA,NA,NA,NA,NA,-1.5387960287651308,5.564049475615923,-1.5387960287651308,5.564049475615923,0,Not applicable,L,1500.1757108718389,0.0,1500.1757108718389,109844,112873,115257,115892,114381,73.22075621139292,75.23985302655178,76.82900020626083,77.25228395588971,76.24506860834761,116874.0,59250.00000000001,57624.0,16672.62654639961,15039.388308665242,14654.31014469181,12961.804620484258,10385.20574665666,8618.39414279868,7016.163763885425,6301.521543931885,5342.8473497702935,4450.167873108034,4171.243924732661,2691.30372177182,2430.145556022458,6138.876757081154,1600.5672828512327,4538.309474229922,1785.012724647127,2753.2967495827943,1007.5863389961175,1745.710410586677,846.034213386303,899.6761972003738,7918.992907321113,7205.061250218146,6990.696556807852,6426.568112378456,5327.016646827309,4585.254104402775,3686.126167895665,3321.8553749899065,2787.3583352651744,2333.7817809578632,2271.2265932480195,1385.6282738196016,1310.1093465514682,3700.324549316649,886.2156403597652,2814.108908956884,1059.631378657366,1754.477530299518,595.0973778186432,1159.3801524808748,558.1095653487603,601.2705871321145,8753.633639078496,7834.3270584470965,7663.613587883958,6535.236508105801,5058.189099829351,4033.1400383959044,3330.0375959897606,2979.666168941979,2555.489014505119,2116.386092150171,1900.0173314846413,1305.6754479522183,1120.03620947099,2438.5522077645046,714.3516424914675,1724.2005652730372,725.381345989761,998.8192192832762,412.4889611774743,586.3302581058019,287.9246480375427,298.4056100682593
{576D7650-A8A2-4E2F-B19E-7CDFE01BE5D2},GHA,Ghana,ASHANTI,KUMASI METROPOLIS,NA,NA,NA,NA,-1.609181648132099,6.68596501971381,-1.609181648132099,6.68596501971381,0,Not applicable,L,240.2065425859499,0.0,240.2065425859499,1164881,1533821,2006915,2585765,3270160,4849.497384456904,6385.425573706733,8354.95560776365,10764.756747101383,13613.950581008352,2035064.0,1062806.0,972258.0,271621.8611967939,250290.02167353622,245611.3210034896,219115.04327666876,201667.7870696332,176011.23918647046,142979.03391327264,120977.69496786615,98518.06336175918,76469.47422873168,67030.44965882631,42560.7284026582,35006.86072944977,87204.42133084411,21912.668804395453,65291.752526448654,27162.909540094668,38128.842986353986,14987.274124433654,23141.568861920332,11126.133756750629,12015.435105169703,135196.89249401868,125133.92506516993,124734.994585948,112852.90417184726,108427.14787154958,96440.25734236678,76322.08545615681,64291.204755211176,50909.13573923603,40367.0204591272,36157.33353189998,22092.554301213153,18303.79293908928,51576.75128716633,12090.396815683627,39486.3544714827,15964.982140364436,23521.372331118266,8618.623455968525,14902.74887514974,7061.716396518647,7841.032478631094,136424.96870277522,125156.09660836631,120876.32641754158,106262.13910482149,93240.63919808363,79570.98184410366,66656.94845711582,56686.49021265498,47608.92762252315,36102.45376960448,30873.116126926336,20468.174101445045,16703.067790360492,35627.670043677776,9822.271988711826,25805.39805496595,11197.92739973023,14607.47065523572,6368.6506684651295,8238.81998677059,4064.417360231981,4174.402626538609
