GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
{2A591960-4AE0-4796-B5A7-9568C88D6C95},LBR,Liberia,Gbarpolu, Bopolu ,NA,NA,NA,NA,-10.441037996083162,7.1635909003257945,-10.441037996083162,7.1635909003257945,0,Not applicable,L,2313.011635274727,0.0,2313.011635274727,14631,16631,20190,22984,25933,6.3255194123838505,7.1901929702245795,8.728879566402156,9.936828526705654,11.21178968774181,18540.785961854664,8516.477055338062,10024.308906516602,2705.6809307073095,2774.0315482615024,2321.8320630898966,2057.4717908094453,1687.359062697497,1548.5106316796307,1128.6009237289934,1116.673862828996,831.2572227967944,689.9991244761175,421.51225495664414,338.7146519590822,306.7130143334832,612.428879529275,264.6839455371017,347.7449339921734,117.95206763247009,229.79286635970334,118.8666947100728,110.92617164963052,44.54051137761601,66.3856602720145,1274.3869723655662,1335.4315751379859,1083.919183503211,942.8479106651812,822.0529369812413,689.8255818593569,499.14208768685177,523.5167877337897,344.2656749992288,284.51530408770844,167.17161536616686,142.3655046989292,143.0126206293789,264.0232996234687,123.81484802603843,140.20845159743027,44.4352938908779,95.77315770655238,48.31798947357598,47.455168232976405,19.19777260334045,28.25739562963595,1431.2939583417433,1438.5999731235165,1237.9128795866857,1114.623880144264,865.3061257162558,858.6850498202738,629.4588360421417,593.1570750952064,486.99154779756554,405.48382038840896,254.34063959047728,196.349147260153,163.7003937041043,348.4055799058064,140.86909751106327,207.53648239474313,73.51677374159219,134.01970865315093,70.54870523649683,63.47100341665411,25.34273877427556,38.128264642378554
{CA678C51-1A4D-4FED-A909-5A5BAFA723B8},LBR,Liberia,River Cess, Zartlahn ,NA,NA,NA,NA,-9.557099127339654,5.546851037196103,-9.557099127339654,5.546851037196103,0,Not applicable,L,192.68565197827968,2.4591541394326244,190.2264918463966,5722,6630,8205,9522,10952,30.079932318892677,34.85318966694486,43.132793547101436,50.056119458318086,57.57347409236501,7535.091670751355,3589.34397526415,3945.7476954872054,1213.823720794429,1154.803950522281,905.4290027904264,716.205787462849,641.0399386051006,636.9936250353708,453.7810306478874,496.2320858613049,346.79295285641655,289.34876976353183,184.87458155157526,131.80519434546468,111.76724942532674,252.19378108939148,91.87588102512959,160.3179000642619,50.39976007415929,109.91813999010259,49.73758509993641,60.18055489016618,25.17174258012673,35.008812310039445,592.2391386340761,539.5793743185483,400.4445298347783,333.65142917214075,334.59365159528136,319.09932730363505,220.89881253630907,250.7358559357631,155.78077395925493,129.71262025236348,83.96248703986724,55.59112296529863,55.90519710634551,117.14965461048808,44.493836648308694,72.65581796217938,21.46173297153714,51.19408499064224,23.555560578516367,27.63852441212587,12.981731163271242,14.65679324885463,621.5845821603529,615.2245762037326,504.9844729556481,382.55435829070825,306.44628700981923,317.89429773173566,232.8822181115783,245.4962299255418,191.01217889716162,159.63614951116836,100.91209451170803,76.21407138016605,55.86205231898123,135.0441264789034,47.382044376820886,87.66208210208251,28.938027102622154,58.72405499946035,26.182024521420047,32.5420304780403,12.190011416855487,20.352019061184812
{89D5534D-741F-4A59-9130-EF04F1192F9E},LBR,Liberia,River Gee, Sarbo ,NA,NA,NA,NA,-7.6420315511951245,5.168284074923916,-7.6420315511951245,5.168284074923916,0,Not applicable,L,568.081467875944,1.9906331577218481,566.0908347182221,4431,5009,6049,6849,7686,7.827365730458396,8.848403282298827,10.685564275229709,12.098765039022693,13.577326338141104,5554.732583673405,2756.483838514622,2798.248745158783,911.3599382177482,921.2714430383207,767.3371044013047,603.1897121232447,483.2655290413875,402.6896588931471,311.4933718551,292.1187118285608,227.3513634511532,174.13788041562756,124.68048977246934,104.3148435038199,89.6997418711901,141.82279526033292,58.147330294654665,83.67546496567826,36.13610489704244,47.539360068635816,24.31330210150454,23.226057967131272,11.563783453448568,11.662274513682704,451.12535413891214,449.39855852498323,362.88609826714793,277.23703581627694,253.14823700196942,217.9216064778209,161.80074902513326,151.09461621877438,113.5368116158219,85.04468398599587,65.44555376790342,52.06288775995484,47.400539602346946,68.38110631158247,27.887749164950932,40.49335714663154,17.35429591998495,23.13906122664659,11.310511271233969,11.828549955412623,5.784765306661647,6.043784648750976,460.23458407883606,471.8728845133375,404.4510061341568,325.95267630696776,230.11729203941803,184.76805241532622,149.69262282996672,141.02409560978637,113.81455183533129,89.09319642963169,59.23493600456593,52.25195574386506,42.299202268843146,73.44168894875044,30.259581129703733,43.182107819046706,18.78180897705749,24.40029884198922,13.00279083027057,11.397508011718648,5.77901814678692,5.618489864931727
{59F9E279-9512-4082-A63B-F9657901EACE},LBR,Liberia,Grand Gedeh,Tchien ,NA,NA,NA,NA,-8.087388831711431,6.007072374182616,-8.087388831711431,6.007072374182616,0,Not applicable,L,1348.6625101852849,0.0,1348.6625101852849,25176,29481,36872,43242,50262,18.667383285193576,21.859434645328562,27.33967892006902,32.06287686758582,37.268033789339036,33859.467860209814,16896.9079511311,16962.55990907872,4101.083554250403,4306.609447245386,4332.068883433546,4631.348822296492,4036.6894157646366,2980.926113707489,2149.663549703575,1836.6533659701508,1419.066780542314,1134.5644113072456,790.5895475297816,513.2328854000123,545.4485049076666,1081.5225781511215,343.8285573674596,737.6940207836619,247.92715153669468,489.76686924696725,215.09765224091637,274.66921700605087,114.66587907765114,160.0033379283997,2074.2619975850907,2178.0031356097575,2085.7576372040403,2197.9102188523284,1996.0355718854096,1496.956583550527,1059.0007522139613,970.9609756200554,718.0569040031654,596.932115823014,404.5904382961997,250.9414014380449,286.5498461113764,580.950372938133,186.45366699027917,394.4967059478538,128.1343245331693,266.3623814146845,113.83487037301254,152.52751104167197,69.25421916781798,83.273291873854,2026.821556665312,2128.606311635628,2246.3112462295057,2433.438603444163,2040.6538438792268,1483.9695301569618,1090.6627974896137,865.6923903500954,701.0098765391488,537.6322954842316,385.9991092335819,262.2914839619674,258.8986587962902,500.5722052129885,157.37489037718044,343.1973148358081,119.7928270035254,223.40448783228268,101.26278186790384,122.14170596437884,45.411659909833155,76.7300460545457
{9D19F4BC-74E9-4118-B1CA-70A8F7C5BF7D},LBR,Liberia,Grand Kru, Barclayville ,NA,NA,NA,NA,-8.182510667655428,4.718408346824022,-8.182510667655428,4.718408346824022,0,Not applicable,L,541.3718221848825,0.1239038587046789,541.2479183261778,11769,11745,12518,12511,12393,21.74419448373292,21.699852511805855,23.12803352428997,23.115100449144578,22.897085753836524,11495.269960897307,5756.077890209962,5739.192070687344,1890.8215835168485,1851.1449451629142,1453.5526044902415,1242.5020205222777,1064.7385167767052,846.8132742071332,677.190585431141,572.6623776769795,472.04600070406536,376.0619027567037,289.1648765384946,210.64430200504944,211.67361703593423,336.25335407281744,126.20211868722689,210.05123538559056,81.60447276975512,128.44676261583544,70.78878772809358,57.65797488774186,33.824501725552494,23.83347316218936,930.8696987847065,919.2618289901916,665.1105745418621,577.9497276637492,557.1777501367221,448.4303383775812,357.4002015679632,298.7499120798872,240.91420994581225,206.2942474007674,155.78983145270192,102.43435976563276,119.33704736115469,176.35816214122858,70.25815928259107,106.10000285863751,41.34030821555358,64.75969464308393,34.00902202954408,30.75067261353986,18.531862303524022,12.218810310015837,959.9518847321418,931.8831161727225,788.4420299483794,664.5522928585285,507.560766639983,398.3829358295519,319.79038386317774,273.91246559709225,231.13179075825315,169.76765535593634,133.37504508579264,108.20994223941666,92.33656967477953,159.89519193158887,55.94395940463581,103.95123252695305,40.26416455420155,63.68706797275149,36.7797656985495,26.907302274201996,15.292639422028474,11.614662852173524
{225094F5-354A-4692-92BF-5468C3C7597D},LBR,Liberia,Grand Cape Mount, Tewor ,NA,NA,NA,NA,-11.312612073980613,6.963101386177377,-11.312612073980613,6.963101386177377,0,Not applicable,L,611.6056864685761,1.7610295475536086,609.8446569210224,23230,26009,31101,34872,38754,38.09166766711279,42.648565835296445,50.99823315173804,57.1817750704932,63.54733055408045,28559.878408383745,14677.239770543023,13882.638637840722,4823.331799333942,4388.501241601867,3128.5060932671568,3066.270888950882,2622.7169664636585,2482.2736511595576,1729.9183813592028,1682.1687219926766,1174.5636710964336,926.9728233473979,624.908491347166,430.0327710422567,463.24378499726805,1016.469122424281,349.9553635302424,666.5137588940386,211.345075925689,455.1686829683496,218.66001148491455,236.50867148343502,106.31056669255766,130.19810479087735,2537.5653560322853,2239.7032332234085,1516.8019014625388,1574.4140777040632,1465.8832560706521,1328.187764306677,876.613486629335,880.4383614005565,585.6839493432972,446.31507486691254,298.34023215527947,199.84970679632502,234.75168908372157,492.6916814679736,170.9240913389622,321.7675901290114,100.16390807136388,221.60368205764752,99.44674405175984,122.15693800588768,58.32934026112837,63.82759774475931,2285.7664433016575,2148.7980083784587,1611.704191804618,1491.8568112468188,1156.8337103930066,1154.0858868528808,853.3048947298679,801.7303605921202,588.8797217531364,480.6577484804854,326.5682591918865,230.18306424593166,228.49209591354648,523.7774409563074,179.0312721912802,344.74616876502716,111.18116785432512,233.56500091070205,119.21326743315471,114.35173347754733,47.981226431429285,66.37050704611804
{848A8670-C415-451C-84AF-16874B865055},LBR,Liberia,Sinoe, Kulu Shaw Boe ,NA,NA,NA,NA,-8.997553600080819,5.571386278717316,-8.997553600080819,5.571386278717316,0,Not applicable,L,1332.09162928392,0.0,1332.09162928392,7246,8107,9686,10853,12051,5.439565748112361,6.08591768147211,7.271271575519781,8.14733743641505,9.04667496970771,8894.955925366974,4204.699212411928,4690.256712955046,1408.4524515156227,1392.4456205864167,1064.5711319725556,949.8058103863114,836.5337098168684,728.1137726296529,575.5137813358643,509.4497616989171,407.2779234612291,304.5649503681898,221.47245481744437,146.7957417501112,138.35882668940104,211.59998833838964,84.90504870646562,126.69493963192402,45.963341220991964,80.73159841093205,38.714791715285685,42.016806695646366,19.26910635629033,22.747700339356033,682.5661349562536,674.2669218291176,475.8804122900281,421.4057899555295,402.4235471647399,356.77787496549234,268.66495261568747,253.21428987899822,193.17742895929152,143.64701870053352,100.12029453374618,68.77752155360517,64.45133598733219,99.32568902157358,41.14290763026959,58.18278139130399,21.984085836774955,36.19869555452904,17.30474226509193,18.893953289437107,8.564081631193455,10.329871658243654,725.886316559369,718.1786987572992,588.6907196825275,528.4000204307819,434.1101626521285,371.3358976641605,306.84882872017687,256.23547181991887,214.10049450193756,160.91793166765626,121.3521602836982,78.01822019650604,73.90749070206884,112.27429931681604,43.76214107619603,68.51215824062001,23.979255384217005,44.53290285640301,21.410049450193753,23.122853406209256,10.705024725096877,12.417828681112379
{C3D48787-B3FC-48EF-A7BD-79F5E1B9B3DF},LBR,Liberia,River Cess, Central RiverCess ,NA,NA,NA,NA,-9.3121014536868,5.80551135825876,-9.3121014536868,5.80551135825876,0,Not applicable,L,1811.6216078672956,0.0,1811.6216078672956,6648,7704,9534,11064,12725,3.669640487356661,4.252543669463856,5.262688388456438,6.107235612532205,7.024093742721647,8755.089020745661,3964.7277752623977,4790.361245483264,1408.816090027909,1342.9276102586336,1055.4039171715976,832.9883087183314,741.6295610653368,738.4133298720999,526.7332450664394,575.0048562914494,403.97237711827194,337.08566450805665,215.256522530492,153.93320119265445,129.57161793296135,293.3527189914285,106.67161487777433,186.6811041136542,58.838666399947066,127.84243771370711,57.805529179620834,70.03690853408628,29.138762000001385,40.89814653408489,654.1771919107304,596.0101196938136,442.3241575143262,368.5456444439628,369.5864071675258,352.4716423800434,244.0010385242427,276.9585247704082,172.07277029576923,143.27833494385624,92.74352269973583,61.40500069022411,61.751921598078475,129.4014986296813,49.14712861270291,80.25437001697838,23.706262036715522,56.54810798026287,26.019068089078008,30.529039891184865,14.339397524647437,16.189642366537427,754.6388981171787,746.9174905648201,613.0797596572713,464.44266427436867,372.043153897811,385.9416874920564,282.7322065421967,298.04633152104117,231.8996068225027,193.8073295642004,122.51299983075616,92.52820050243034,67.81969633488286,163.9512203617472,57.524486265071424,106.42673409667577,35.132404363231544,71.29432973344423,31.786461090542826,39.50786864290141,14.799364475353947,24.70850416754746
{93F094D5-2E31-4722-981F-337F0478F4E1},LBR,Liberia,Maryland, Whojah ,NA,NA,NA,NA,-8.005527711211414,4.962135437481339,-8.005527711211414,4.962135437481339,0,Not applicable,L,221.51177382788086,0.0,221.51177382788086,7053,8238,10276,12020,13935,31.84029398581912,37.18989676097801,46.390310647706976,54.26348131426993,62.90861997623556,9436.582658651541,4400.424151999822,5036.15850665172,1346.251036925497,1487.18009813368,1406.2070293937704,1242.3607961217979,947.4231668433013,670.0745162454552,511.51803519260585,463.25432294944005,364.7756441380484,280.72435541212775,203.27495078167098,151.33758930512974,141.71291674348615,220.48820046553072,81.65333910164107,138.83486136388967,60.69044317405881,78.14441818983087,39.070421527565415,39.07399666226546,21.92332876763716,17.150667894628295,639.8170605284686,702.5614578834743,639.0733230598208,553.3406766738864,437.5880815534448,322.57922390165095,251.51848939722106,233.53356515537675,173.22321769776352,125.42118221286158,87.49057131182904,64.90799726379899,69.64087206428434,99.72843329594116,37.727773409583165,62.00065988635799,27.92396132286352,34.07669856349447,15.686099338751422,18.390599224743045,10.479937058217544,7.910662166525501,706.4339763970282,784.6186402502058,767.1337063339497,689.0201194479115,509.8350852898565,347.4952923438043,259.9995457953848,229.72075779406333,191.55242644028485,155.30317319926618,115.78437946984194,86.42959204133075,72.07204467920181,120.7597671695896,43.9255656920579,76.83420147753169,32.76648185119529,44.067719626336405,23.384322188813996,20.68339743752241,11.443391709419615,9.240005728102794
{8E7B6102-A5F6-44C2-9829-C7B2A4E7CB9C},LBR,Liberia,Lofa, Foya ,NA,NA,NA,NA,-10.20021075006771,8.370906554134589,-10.20021075006771,8.370906554134589,0,Not applicable,L,577.2643862560337,0.0,577.2643862560337,65032,70684,82053,89316,96360,112.65548602743075,122.44649363948388,142.14110891574572,154.72286551276304,166.92524654944071,75349.79357969502,38192.90606478431,37156.88751491071,12269.742100423337,11820.765353111288,8523.64934579479,8157.777935769896,6354.275489394704,6264.560785539463,4522.22363310398,4247.7802794286745,3011.699613322902,2411.3254543436697,1661.467026095996,1060.8901998049396,1242.8781972457891,3800.7581663155947,998.9721965087192,2801.7859698068755,809.3742902697678,1992.4116795371076,733.062039541546,1259.3496399955616,512.9233890771754,746.4262509183861,6067.055052705942,5708.459998834898,3965.07482614883,3936.8138033158702,3414.784721174974,3431.5813668209785,2419.2501998705275,2250.483903141627,1545.2913994323978,1195.7612019417363,888.355925277562,524.1619895245159,753.9827601095275,2091.8489164849193,567.0867506198603,1524.7621658650592,494.56789957679393,1030.1942662882652,380.9905813990504,649.2036848892147,287.94249678864554,361.2611881005692,6202.687047717393,6112.30535427639,4558.574519645961,4220.964132454026,2939.49076821973,2832.979418718485,2102.973433233453,1997.2963762870481,1466.4082138905046,1215.5642524019336,773.1111008184341,536.7282102804237,488.8954371362616,1708.9092498306754,431.885445888859,1277.0238039418164,314.8063906929739,962.2174132488425,352.07145814249554,610.145955106347,224.98089228852993,385.165062817817
