GUBID,ISOALPHA,COUNTRYNM,NAME1,NAME2,NAME3,NAME4,NAME5,NAME6,CENTROID_X,CENTROID_Y,INSIDE_X,INSIDE_Y,CONTEXT,CONTEXT_NM,WATER_CODE,TOTAL_A_KM,WATER_A_KM,LAND_A_KM,UN_2000_E,UN_2005_E,UN_2010_E,UN_2015_E,UN_2020_E,UN_2000_DS,UN_2005_DS,UN_2010_DS,UN_2015_DS,UN_2020_DS,B_2010_E,F_2010_E,M_2010_E,A00_04B,A05_09B,A10_14B,A15_19B,A20_24B,A25_29B,A30_34B,A35_39B,A40_44B,A45_49B,A50_54B,A55_59B,A60_64B,A65PLUSB,A65_69B,A70PLUSB,A70_74B,A75PLUSB,A75_79B,A80PLUSB,A80_84B,A85PLUSB,A00_04F,A05_09F,A10_14F,A15_19F,A20_24F,A25_29F,A30_34F,A35_39F,A40_44F,A45_49F,A50_54F,A55_59F,A60_64F,A65PLUSF,A65_69F,A70PLUSF,A70_74F,A75PLUSF,A75_79F,A80PLUSF,A80_84F,A85PLUSF,A00_04M,A05_09M,A10_14M,A15_19M,A20_24M,A25_29M,A30_34M,A35_39M,A40_44M,A45_49M,A50_54M,A55_59M,A60_64M,A65PLUSM,A65_69M,A70PLUSM,A70_74M,A75PLUSM,A75_79M,A80PLUSM,A80_84M,A85PLUSM
{84E6160D-CCA6-4C16-8929-C424CBBD6F11},NGA,Nigeria,BAYELSA,SAGBAMA,NA,NA,NA,NA,6.183005227735224,5.112981346212903,6.183005227735224,5.112981346212903,0,Not applicable,L,896.4003528825499,54.53804893107011,841.8623039514803,162653,185630,212730,243706,276890,193.20618019900593,220.49924213104873,252.6897795536174,289.4843953175099,328.9017677835807,211886.1354759442,103411.69122581628,108474.44425012793,26970.356872626326,28454.599584568976,25158.424211293743,24479.232932108374,20333.784991037075,17778.030160847058,14267.55236392235,11828.586685245013,10707.18405567184,8394.078530566414,7481.308948355692,3724.780220574182,4189.669076110076,8118.5468430170895,2081.7949725948847,6036.751870422205,2216.726128226035,3820.0257421961696,1141.8123842064538,2678.213357989716,1364.0519346577596,1314.1614233319563,13065.644591073451,13464.768681679878,11722.002411048976,11616.552012110345,10226.42094653228,9599.387929187524,7722.824378182876,6475.561595037793,5278.189323218512,3985.571529777244,3391.4208948972228,1625.977119118227,1740.4985201160937,3496.871293835852,1100.9928749398873,2395.878418895965,843.6031915090383,1552.2752273869266,483.03085965436867,1069.244367732558,591.8828843652124,477.3614833673456,13904.712281552875,14989.830902889096,13436.421800244765,12862.680919998027,10107.364044504795,8178.642231659535,6544.727985739475,5353.025090207218,5428.994732453328,4408.507000789169,4089.88805345847,2098.8031014559547,2449.1705559939824,4621.675549181237,980.8020976549976,3640.87345152624,1373.1229367169967,2267.750514809243,658.7815245520851,1608.9689902571579,772.1690502925472,836.7999399646106
{4E909EE8-7C0B-4487-83F9-8D2F2034FB15},NGA,Nigeria,BORNO,CHIBOK,NA,NA,NA,NA,12.879927105819592,10.826744192965817,12.879927105819592,10.826744192965817,0,Not applicable,L,1402.205183758943,0.0,1402.205183758943,57130,65777,76047,87891,100743,40.74296733581423,46.90968252140473,54.23386026582644,62.680555611973546,71.84611864715444,75745.46663960154,36975.77307308485,38769.69356651669,15187.232694235154,12522.044640976143,8617.898131082158,7101.458656048753,6351.232198897438,6441.442077306805,4962.685209710224,3732.861930635693,2999.763931410207,1946.9347175692435,1752.8121944098466,899.8149897035564,906.6663728738881,2322.618894742429,502.4347658243209,1820.184128918108,712.5438497144914,1107.6402792036165,334.5758781511955,773.064401052421,368.8327940028537,404.2316070495673,7225.925450309778,5880.770554534664,3994.3563883033507,3458.806603822427,3672.341379297763,3737.429519415914,2498.471062780941,1743.6770168494043,1291.4857276075156,849.5715131211243,822.1659804397977,358.5557192473562,420.2181677803411,1021.9979895744708,280.9067099835976,741.0912795908732,326.58259778580856,414.5086818050647,155.29801852751737,259.2106632775473,132.46007462641185,126.75058865113549,7961.307243925376,6641.274086441478,4623.541742778808,3642.6520522263268,2678.8908195996746,2704.012557890891,2464.2141469292833,1989.1849137862887,1708.2782038026912,1097.3632044481192,930.646213970049,541.2592704562002,486.4482050935471,1300.620905167958,221.5280558407233,1079.0928493272347,385.9612519286829,693.1315973985519,179.27785962367815,513.8537377748737,236.37271937644186,277.4810183984318
{21614A2E-83C7-4A81-8685-FECF0B8A2C97},NGA,Nigeria,KOGI,ANKPA,NA,NA,NA,NA,7.651150290950638,7.433711836071572,7.651150290950638,7.433711836071572,0,Not applicable,L,1272.2983908319834,0.0,1272.2983908319834,235176,265072,300005,339429,380869,184.84343114370625,208.34106362947114,235.7976730630149,266.7841148317731,299.3550905546155,298814.56210492284,148714.62437109742,150099.9377338254,58344.81854756646,45610.937288714646,34456.58269222769,30869.81106020516,26069.48696050928,24223.899303844166,18861.142469361657,14493.027157875067,12637.335919147918,8502.725615317255,8280.446809952478,3174.7700079373117,5028.21600620623,8261.362266057524,1948.868717743696,6312.493548313827,2193.5999276907733,4118.893620623054,1019.3391680364493,3099.5544525866044,1452.6705764748517,1646.8838761117524,28511.18595883447,21919.159973471003,16175.834881318498,15427.047188498773,14348.209148319225,13964.273029961885,10141.7511498252,7365.511323223726,6149.713615092146,3795.5789946379236,3700.156275163146,1405.5205268520203,2330.559595642807,3480.1227102566,929.5295497072466,2550.5931605493533,905.954524895831,1644.6386356535222,432.2087882092874,1212.4298474442348,635.4030496791082,577.0267977651265,29833.632588731987,23691.777315243646,18280.74781090919,15442.763871706387,11721.277812190054,10259.62627388228,8719.391319536457,7127.515834651341,6487.6223040557725,4707.146620679331,4580.290534789332,1769.249481085291,2697.656410563423,4781.239555800923,1019.3391680364495,3761.9003877644736,1287.6454027949424,2474.2549849695315,587.130379827162,1887.1246051423695,817.2675267957436,1069.857078346626
{2BCA718F-E9BA-43E3-AD9D-2E83144E92F8},NGA,Nigeria,DELTA,BURUTU,NA,NA,NA,NA,5.595262995753329,5.231024816659366,5.595262995753329,5.231024816659366,0,Not applicable,L,1745.8005332692032,17.03683400659939,1728.763699262604,181678,206722,236193,269775,305593,105.09128580007429,119.57793889828685,136.62538153753866,156.05082413233876,176.7696765789039,235255.6746205577,115161.33861806708,120094.33600249061,30221.254556212658,31948.53889604635,28215.704369883162,26535.928833109734,22236.38215615632,19537.429677542576,15484.47631171146,13377.121547395698,11871.544955176549,9414.661139774598,8504.075747786306,3959.0669216882247,5110.589814910685,8838.899693163368,2149.2077574878936,6689.691935675475,2829.036106040643,3860.655829634832,1144.7359213567095,2715.9199082781224,1261.245605052106,1454.6743032260165,14604.432293119049,15147.39004237915,13182.561687244162,12683.719255111446,11241.487733639307,10723.415547886963,8419.238599464417,7262.059896353829,5748.565170291302,4453.38470591044,3674.0141033266723,1884.515854723595,2441.0475477151967,3695.5061809015515,984.1109205339301,2711.3952603676216,1125.5061677370811,1585.8890926305403,417.3987697437014,1168.4903228868388,571.2367987007295,597.2535241861093,15616.822263093609,16801.1488536672,15033.142682639002,13852.209577998286,10994.894422517013,8814.014129655614,7065.237712247043,6115.0616510418695,6122.979784885246,4961.276433864158,4830.061644459634,2074.5510669646296,2669.542267195489,5143.393512261817,1165.0968369539635,3978.2966753078535,1703.529938303562,2274.766737004292,727.3371516130081,1547.4295853912836,690.0088063513764,857.4207790399071
{27E2C872-49FF-4F3D-B36B-602EAA222917},NGA,Nigeria,AKWA,URUE-OFFONG/ORUKO,NA,NA,NA,NA,8.158939585223175,4.710337862651293,8.158939585223175,4.710337862651293,0,Not applicable,L,127.9527625748959,0.039075982330713,127.91368659256518,61306,70220,80764,92860,105888,479.27631227824634,548.963929275739,631.3945141558785,725.9582807255073,827.8082105261956,80443.42509252313,39268.76385771853,41174.661234804604,10035.527656792716,10845.192890972477,9573.836526066614,9249.742998340163,8031.833636252344,6993.59717725498,5392.461433259043,4645.340564079121,4238.23360644379,3119.258058082993,2997.580838901484,1331.6263893602572,1824.0211174499168,2165.172199267233,926.7937722703754,1238.3784269968573,651.5985662710738,586.7798607257837,170.57554090865804,416.2043198171257,217.19952209035793,199.00479772676772,4868.2259375331005,5170.713230077787,4530.486366533957,4439.512744716007,4064.2465547169586,3819.7549460812156,2942.9966658107137,2539.3012189935557,2033.2604476312038,1410.0911381782396,1460.126630178113,463.96547127154986,760.7669124526149,765.3155935435125,416.2043198171256,349.1112737263868,229.70839509032615,119.40287863606062,31.840767636282834,87.56211099977779,46.62398118169986,40.93812981807793,5167.301719259615,5674.479660894691,5043.350159532656,4810.230253624157,3967.587081535386,3173.842231173764,2449.4647674483294,2106.039345085565,2204.9731588125865,1709.1669199047535,1537.4542087233713,867.6609180887073,1063.254204997302,1399.8566057237203,510.58945245324975,889.2671532704707,421.8901711807476,467.37698208972307,138.7347732723752,328.64220881734786,170.57554090865807,158.0666679086898
{DF2216A2-8E99-4363-8D73-C753790ABE10},NGA,Nigeria,TARABA,YORRO,NA,NA,NA,NA,11.63680928814004,8.886943447569614,11.63680928814004,8.886943447569614,0,Not applicable,L,1340.9097746790496,0.0,1340.9097746790496,80631,90378,101722,114453,127715,60.13156255744295,67.40050800333096,75.86043589274858,85.35473613606452,95.2450361774482,101318.69392087673,49873.54827759372,51445.14564328302,17350.629393171963,15525.681652294426,11602.008637210169,10423.88119769808,9028.115163015482,8592.168552259887,6833.299053329867,5220.892933427238,4536.9973824837625,3047.960905114989,2770.662838941433,1304.3879801668165,1782.9300887450586,3299.0781430175593,819.6274227391343,2479.4507202784253,1012.9242644702101,1466.5264558082154,442.77964505757143,1023.7468107506438,534.4605026490441,489.28630810159973,8455.747313780517,7481.9869954405885,5483.079301142524,5141.7749997852225,5084.330919995695,4865.190820201114,3522.0011285083515,2507.873295410752,2107.6673914702646,1305.115396044088,1206.6810049962544,535.8562012219901,808.6804578330309,1367.5630517633258,368.794034845257,998.7690169180687,397.9488899604159,600.8201269576527,165.4042857753141,435.4158411823387,217.39338683911623,218.02245434322248,8894.882079391444,8043.694656853838,6118.929336067645,5282.106197912858,3943.784243019787,3726.977732058774,3311.297924821515,2713.019638016486,2429.329991013498,1742.8455090709015,1563.9818339451788,768.5317789448264,974.2496309120278,1931.515091254234,450.8333878938773,1480.6817033603568,614.9753745097943,865.7063288505625,277.37535928225736,588.3309695683051,317.0671158099278,271.26385375837725
{9EE5D0B5-64D9-42D7-B519-D23D67199854},NGA,Nigeria,KWARA,BARUTEN,NA,NA,NA,NA,3.3919956945252654,9.294788814524065,3.3919956945252654,9.294788814524065,0,Not applicable,L,10380.839010592354,0.0,10380.839010592354,183344,205960,232323,261974,292975,17.661770865815402,19.840400163208724,22.37998294385871,25.236303128551377,28.22267060504989,231401.15963840863,114147.11232130519,117254.04731710342,47503.07675737932,35842.27388125729,25694.072511197748,22413.59700212069,19968.355189211376,18951.743666261897,14771.096720564376,11140.181336285572,9745.139532766796,6623.649526177432,6418.759758886952,2400.457164321233,3783.1831894782863,6145.573402499649,1455.5010791126879,4690.072323386961,1710.7735760647593,2979.2987473222015,697.520901759388,2281.7778455628136,1102.8219714815364,1178.9558740812772,23436.92622235838,17209.62083618548,12025.797762114908,11045.013958035895,11037.176644532983,10779.664915151507,7737.6676598059885,5453.650581813771,4537.80451818748,2787.8443746081484,2765.4520503141066,1055.7980904640497,1625.6827437474021,2649.011963985092,689.6835882564736,1959.328375728618,710.9562963358129,1248.3720793928053,353.7987238458533,894.5733555469519,471.3584263895704,423.21492915738156,24066.15053502094,18632.65304507181,13668.27474908284,11368.583044084793,8931.178544678392,8172.078751110391,7033.429060758388,5686.530754471801,5207.335014579316,3835.805151569283,3653.307708572846,1344.659073857183,2157.500445730884,3496.561438514557,765.8174908562141,2730.7439476583427,999.8172797289463,1730.9266679293964,343.7221779135347,1387.2044900158617,631.463545091966,755.7409449238957
{42DFCE91-9A3A-440E-973A-00B15A97A25F},NGA,Nigeria,LAGOS,LAGOS MAINLAND,NA,NA,NA,NA,3.3742415828258823,6.504245527408193,3.3742415828258823,6.504245527408193,0,Not applicable,L,22.83166260382393,0.0367106394495713,22.794951964374356,285076,324670,371294,424472,481267,12506.102247793193,14243.065767693584,16288.430902608869,18621.31583621656,21112.87625225795,369820.2655079441,176739.44810004998,193080.81740789412,41456.77252432641,35493.463192536234,33787.558264098916,36645.82630942355,48253.22454180328,46846.164272362286,32420.11755172182,24672.796164711202,18812.497681287183,14733.947278394247,11587.022460175438,7801.656779555405,6121.7875600457955,11187.430927502332,3786.497667964717,7400.9332595376145,2957.882931656743,4443.050327880871,1596.1021560030645,2846.9481718778065,1450.0757885389544,1396.8723833388522,20760.64790148667,17777.8612482469,18032.55840080058,18622.323807380435,22553.71585546458,20962.141648840246,14433.970632053244,10801.42324296542,8611.027731003767,6480.627548310315,5412.03149492954,3441.241527836394,2974.862741826988,5875.014318904898,1823.6316122843525,4051.382706620545,1521.390991253985,2529.9917153665597,815.0308881717775,1714.960827194782,896.5339769889554,818.4268502058267,20696.124622839736,17715.601944289334,15754.999863298333,18023.502502043117,25699.508686338704,25884.02262352204,17986.146919668576,13871.372921745782,10201.469950283417,8253.319730083931,6174.990965245898,4360.4152517190105,3146.924818218808,5312.416608597434,1962.8660556803645,3349.5505529170696,1436.491940402758,1913.0586125143116,781.0712678312868,1131.9873446830247,553.541811549999,578.4455331330256
{A365AF6E-4195-476E-90D4-51DE6B3C14C1},NGA,Nigeria,ZAMFARA,GUSAU,NA,NA,NA,NA,6.766807695111186,11.91269202073158,6.778866529000027,11.557334437000065,0,Not applicable,L,3069.3769430851376,1.192089566361205,3068.184853518776,337387,381812,433876,492876,555284,109.96306158446242,124.44230651947694,141.41129713954663,160.64090774541847,180.98127280798204,432154.75306387455,208389.60980998434,223765.14325389024,82350.10473813029,69550.2997579083,51341.12712964356,43591.41678482108,37777.72621659355,36331.624184512155,27238.300347265154,19931.205344037684,17867.919578638066,10531.54213550864,11424.656552518409,5407.115152665702,6393.708127824035,12418.007013807965,2536.30979458512,9881.697219222844,3769.551013533036,6112.146205689808,1351.4972262442914,4760.6489794455165,2531.8048038309726,2228.844175614544,40357.95967103161,34237.92973152205,22063.192218438053,20353.548227239025,21212.875213592688,20119.28870802335,13727.83307557639,9024.622728246253,8226.113117073586,4140.086503061679,5046.715892333891,1857.1824383973635,2693.9844709802874,5328.277814468118,934.7855814856347,4393.492232982483,1644.3216252638877,2749.1706077185954,542.8513858747904,2206.3192218438053,1181.433825275218,1024.8853965685876,41992.145067098674,35312.37002638626,29277.934911205502,23237.868557582053,16564.851003000862,16212.33547648881,13510.467271688765,10906.58261579143,9641.806461564482,6391.455632446961,6377.9406601845185,3549.9327142683387,3699.723656843748,7089.729199339845,1601.5242130994852,5488.20498624036,2125.2293882691483,3362.9755979712113,808.645840369501,2554.3297576017103,1350.3709785557544,1203.9587790459561
{DD70A7F1-9E9F-412E-9D5D-F951BF82B9FE},NGA,Nigeria,KADUNA,IKARA,NA,NA,NA,NA,8.196087521248453,11.252647738793238,8.196087521248453,11.252647738793238,0,Not applicable,L,904.7840448804769,0.7476430103935335,904.0364018700833,171585,193829,219863,249310,280372,189.79877319658863,214.40397709544294,243.20149005636605,275.77429347344764,310.13352938003874,218990.10792389346,111478.32792200171,107511.78000189175,44853.36849950259,37347.629679311525,22719.648733218448,20852.773329934484,18684.49876515648,17296.71307379961,14476.15674160914,9636.90080165077,9465.957993639227,5078.800795921914,6223.6677601044885,2106.4202592475076,3530.193910185759,6717.377580611514,1141.4930929718207,5575.884487639692,2189.6424157794436,3386.242071860249,672.524994676994,2713.717077183255,1505.871183733269,1207.8458934499859,22475.605382307233,18605.77510357222,10825.62809157315,11070.796066221284,11575.75212409749,10281.310202904813,7874.6154059001865,4580.592480467218,4463.631611827741,2091.8001506675732,2679.978365075713,835.5954365301112,1411.4027898321528,2705.844711024829,474.59121697941714,2231.2534940454116,886.2035046914234,1345.049989353988,267.66044938649594,1077.389539967492,612.9199366203372,464.4696033471547,22377.763117195358,18741.854575739304,11894.020641645297,9781.9772637132,7108.746641058993,7015.402870894796,6601.541335708954,5056.308321183553,5002.3263818114865,2987.0006452543407,3543.6893950287754,1270.8248227173965,2118.791120353606,4011.5328695866847,666.9018759924037,3344.630993594281,1303.43891108802,2041.1920825062607,404.86454529049803,1636.3275372157627,892.9512471129317,743.376290102831
