Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
"Population, total",SP.POP.TOTL,Benin,BEN,6865946
"Population, total",SP.POP.TOTL,Burkina Faso,BFA,11607951
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,1317708
"Population, total",SP.POP.TOTL,Ghana,GHA,19278850
"Population, total",SP.POP.TOTL,Guinea,GIN,8240735
"Population, total",SP.POP.TOTL,Liberia,LBR,2848447
"Population, total",SP.POP.TOTL,Mali,MLI,10946448
"Population, total",SP.POP.TOTL,Niger,NER,11331561
"Population, total",SP.POP.TOTL,Nigeria,NGA,122283853
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4584570
"Population, total",SP.POP.TOTL,Senegal,SEN,9797731
"Population, total",SP.POP.TOTL,Togo,TGO,4924406
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 06/30/2022,,,,
